id,artist_name(s),song_name,popularity,explicit?,danceability,energy,speechiness,acousticness,instrumentalness,liveness,valence

7jYd6GwT72RhhKMTZ64Z1H,['lil hero'],big ballin,40,False,0.609,0.73,0.0682,0.000483,1.54e-06,0.369,0.483

48uAefi9v53sT1HbBfa7vD,['MIKE'],Set the Mood,47,True,0.449,0.814,0.0843,2.48e-05,0,0.462,0.509

6I7XPrunF1zHlEbgDbJNCw,['Sideshow'],MR COULDN’T HURT A FLY,28,True,0.39,0.691,0.279,0.00632,7.27e-06,0.207,0.546

2TKrYbPF5u0CLzTUeLEcA4,['MIKE'],For You,21,True,0.828,0.468,0.0474,0.186,0.000112,0.101,0.55

7cydqy4KqoI8LXpdjo2BqS,"['Chavo', 'Pi’erre Bourne']",Michigan,48,True,0.469,0.583,0.285,0.0151,1.87e-06,0.278,0.218

7nc7mlSdWYeFom84zZ8Wr8,"['Cochise', '$NOT']",Tell Em,78,True,0.672,0.717,0.226,0.103,0,0.398,0.473

20tMFzQngWtXPNVUSI0XhU,"['B. Cool-Aid', 'Pink Siifu', 'Ahwlee', 'DJ Harrison', 'V.C.R', 'Malik Abdul-Rahmaan']",Diamonds,30,True,0.6,0.41,0.317,0.0865,0.00541,0.121,0.255

1ODz2dIsUE3nLMjapT2oNI,['tg.blk'],Cap Chronicles,0,True,0.639,0.585,0.4,0.689,0,0.0948,0.389

6lIRYe72fn1pf7TNqfI0ul,"['Cautious Clay', 'Remi Wolf', 'sophie meiers', 'Still Woozy', 'Claud', 'Melanie Faye', 'HXNS']","Cheesin’ (with Cautious Clay, Remi Wolf, Still Woozy, Sophie Meiers, Claud, Melanie Faye, & HXNS)",59,False,0.818,0.623,0.043,0.201,0,0.112,0.968

7jb5XsfhW5ZWsMBGO6eHE5,['dedwrite'],Kirb in my cup,60,True,0.753,0.327,0.33,0.0505,2.85e-05,0.145,0.181

5wUVcvWtmLdGhkFiBXvvcF,"['Pink Siifu', 'Valee']",Griptape'!!,28,True,0.623,0.796,0.275,0.233,0,0.0974,0.667

0UcYNTeGXilqjMBBCbb1Ce,['Knxwledge'],I Heard,15,False,0.671,0.495,0.355,0.0249,0.0257,0.18,0.571

5a5q1sFcpMoPRk5fRGWq2W,['Take Van'],In My Head,54,False,0.709,0.504,0.0311,0.224,0.772,0.146,0.651

1N53xvb3ABMtZkPHuFSe4b,['Devonwho'],uy6,5,False,0.596,0.38,0.231,0.757,0.922,0.111,0.399

4wx3jt0cWGrHK5EK3z62RW,['lil hero'],fasho fashizzy,40,True,0.359,0.659,0.0368,0.257,0,0.185,0.534

6fpBjPf37z4b55lAiaIReL,['lil hero'],easy going down,36,False,0.564,0.943,0.146,0.00296,2.21e-06,0.172,0.515

4nRGrgAvCksN2AGk1cfK02,['Zelooperz'],JayJay-Z,47,True,0.615,0.702,0.354,0.0146,1.58e-05,0.319,0.735

