id,artist_name(s),song_name,popularity,explicit?,danceability,energy,speechiness,acousticness,instrumentalness,liveness,valence
5ppFJiblsHy3ZP3RyP1H0I,['Black Noi$e'],14 Trillion - Instrumental,0,False,0.372,0.602,0.445,0.18,0.985,0.363,0.198
6U5cO7rm3UmRRlGaxtcTSp,['Black Noi$e'],Sorry - Instrumental,4,False,0.553,0.668,0.0515,0.00162,0.907,0.182,0.292
2HwKaZarUt7lWlQW0gAYgN,['Black Noi$e'],Tight Leash - Instrumental,3,False,0.591,0.657,0.0488,0.119,0.769,0.243,0.161
3rMwkp2lflfdNgLaq09InI,['Black Noi$e'],The Band - Instrumental,3,False,0.595,0.503,0.0401,0.281,0.294,0.166,0.524
7peCTEvCubmWMpu0q8R0a9,['Black Noi$e'],Mo(u)rning - Instrumental,4,False,0.801,0.678,0.0988,0.493,0.725,0.101,0.968
0h5nNnlBqssXmxtmPLgEEC,['Black Noi$e'],George’s Baby - Instrumental,2,False,0.666,0.611,0.0568,0.225,0.667,0.58,0.476
4e8lnxi1V6peu0rGasSHpt,['Black Noi$e'],Glitch - Instrumental,2,False,0.749,0.472,0.0922,0.0305,0.509,0.222,0.372
5zf6ra605UmDGYhaMykqyR,['Black Noi$e'],Oblivion - Instrumental,1,False,0.678,0.698,0.112,0.0801,0.051,0.0765,0.527
1aKjzfvvUglKA9x1qEEFBF,['Black Noi$e'],1999 - Instrumental,1,False,0.865,0.474,0.0791,0.000383,0.791,0.135,0.669
3PzOVXUw9STUFLeahboGY0,['Black Noi$e'],Mutha Magick - Instrumental,1,False,0.808,0.836,0.0973,0.00102,0.939,0.0812,0.585
1bOQsE6RqOCSJxy2ZAs9IR,['Black Noi$e'],Bonnie & Clyde - Instrumental,1,False,0.674,0.55,0.0615,0.00602,0.45,0.3,0.179
1QuQiyZngINB20c9TqPPxi,['Black Noi$e'],33 - Instrumental,1,False,0.362,0.291,0.0357,0.933,0.9,0.117,0.192
